id,INCOMING_DTTM,score_risco,abriu_rdr_48h
5251,2025-09-01,15.0,0
2361,2025-09-01,97.6,1
4155,2025-09-01,36.4,0
5168,2025-09-01,97.5,1
760,2025-09-01,28.0,0
5068,2025-09-01,97.5,1
5251,2025-09-01,13.6,0
3320,2025-09-01,29.0,0
4665,2025-09-01,32.2,0
5094,2025-09-01,28.3,0
4644,2025-09-01,19.1,0
4028,2025-09-01,97.5,1
1467,2025-09-02,22.1,0
1467,2025-09-02,21.0,0
972,2025-09-02,20.8,0
851,2025-09-02,6.3,0
3801,2025-09-02,11.0,1
1474,2025-09-02,11.4,0
1474,2025-09-02,14.9,0
4881,2025-09-02,96.3,1
4881,2025-09-02,21.9,1
1873,2025-09-02,97.6,1
5321,2025-09-02,28.5,1
4881,2025-09-02,22.3,1
1460,2025-09-02,32.1,0
3773,2025-09-02,44.9,1
4068,2025-09-02,14.1,0
3750,2025-09-02,19.2,0
4897,2025-09-02,32.1,0
766,2025-09-02,18.0,0
5272,2025-09-02,37.6,1
3021,2025-09-02,33.2,0
3007,2025-09-02,97.2,1
3004,2025-09-02,39.2,1
5272,2025-09-02,39.3,1
3004,2025-09-02,97.4,1
1005,2025-09-02,21.8,0
2987,2025-09-02,28.1,1
2217,2025-09-02,23.1,0
4896,2025-09-02,20.9,0
2995,2025-09-02,35.1,0
5218,2025-09-02,12.7,0
2194,2025-09-02,34.2,0
89,2025-09-02,24.7,0
1002,2025-09-02,16.6,0
1002,2025-09-02,8.0,0
4881,2025-09-02,23.6,1
3767,2025-09-02,41.9,0
3767,2025-09-02,32.0,0
3767,2025-09-02,25.4,0
768,2025-09-02,12.3,0
79,2025-09-02,54.5,0
78,2025-09-02,28.7,0
4018,2025-09-02,96.1,1
3953,2025-09-02,9.8,0
898,2025-09-02,43.4,1
894,2025-09-02,37.4,0
891,2025-09-02,97.7,1
2941,2025-09-02,16.7,0
2941,2025-09-02,12.7,0
5069,2025-09-02,97.6,1
5069,2025-09-02,35.3,1
2931,2025-09-02,27.7,0
2922,2025-09-02,96.6,1
5061,2025-09-02,8.4,0
2922,2025-09-02,20.7,1
2922,2025-09-02,27.1,1
1506,2025-09-02,21.4,0
61,2025-09-02,97.3,1
3909,2025-09-02,44.2,0
1507,2025-09-02,15.0,0
2100,2025-09-02,26.4,0
3931,2025-09-02,37.3,0
3937,2025-09-02,36.9,0
4859,2025-09-02,12.5,0
5069,2025-09-02,37.2,1
4853,2025-09-02,12.1,0
5223,2025-09-02,17.5,0
851,2025-09-02,29.5,0
3965,2025-09-02,23.5,0
5261,2025-09-02,45.7,1
898,2025-09-02,52.3,1
2910,2025-09-02,46.2,0
4006,2025-09-02,97.6,1
959,2025-09-02,14.0,0
4006,2025-09-02,44.0,1
234,2025-09-02,14.0,0
4004,2025-09-02,34.6,0
76,2025-09-02,43.5,0
944,2025-09-02,97.3,1
944,2025-09-02,51.6,1
944,2025-09-02,43.8,1
944,2025-09-02,35.1,1
4000,2025-09-02,97.7,1
3847,2025-09-02,12.6,1
3847,2025-09-02,12.2,1
2898,2025-09-02,46.5,1
2898,2025-09-02,44.2,1
3850,2025-09-02,13.6,0
2104,2025-09-02,85.3,1
917,2025-09-02,6.8,0
917,2025-09-02,5.0,0
1492,2025-09-02,8.6,0
3880,2025-09-02,32.2,0
3984,2025-09-02,5.1,0
817,2025-09-02,48.4,1
904,2025-09-02,37.7,0
898,2025-09-02,97.3,1
2912,2025-09-02,9.8,0
1994,2025-09-02,19.1,0
3689,2025-09-02,47.1,0
3023,2025-09-02,62.8,1
1328,2025-09-02,39.2,1
5173,2025-09-02,18.2,0
2164,2025-09-02,44.5,1
4951,2025-09-02,97.7,1
2164,2025-09-02,35.4,1
4949,2025-09-02,16.9,1
4949,2025-09-02,28.6,1
4949,2025-09-02,17.1,1
1340,2025-09-02,51.8,1
1340,2025-09-02,97.9,1
4949,2025-09-02,19.2,1
3184,2025-09-02,12.8,0
3184,2025-09-02,6.1,0
5303,2025-09-02,20.6,0
1328,2025-09-02,97.4,1
1350,2025-09-02,38.2,0
4949,2025-09-02,12.5,1
4944,2025-09-02,10.9,0
4943,2025-09-02,97.3,1
1181,2025-09-02,97.7,1
4938,2025-09-02,96.6,1
4938,2025-09-02,25.0,1
3164,2025-09-02,21.6,0
3164,2025-09-02,11.3,0
125,2025-09-02,8.8,0
3164,2025-09-02,12.5,0
4938,2025-09-02,25.7,1
5175,2025-09-02,28.2,0
5175,2025-09-02,40.7,0
3147,2025-09-02,1.9,0
2162,2025-09-02,22.6,0
132,2025-09-02,15.4,0
5173,2025-09-02,22.0,0
5173,2025-09-02,10.2,0
1893,2025-09-02,35.0,0
3330,2025-09-02,30.7,0
3331,2025-09-02,23.3,0
3335,2025-09-02,37.7,0
3338,2025-09-02,39.4,0
3341,2025-09-02,96.6,1
1267,2025-09-02,11.5,0
3358,2025-09-02,12.7,0
3358,2025-09-02,12.6,0
3245,2025-09-02,54.7,0
3358,2025-09-02,20.3,0
4965,2025-09-02,2.4,0
4965,2025-09-02,3.0,0
4965,2025-09-02,3.0,0
3240,2025-09-02,38.5,0
1316,2025-09-02,97.1,1
2168,2025-09-02,35.7,0
3399,2025-09-02,24.9,0
1328,2025-09-02,43.6,1
3393,2025-09-02,36.5,0
3207,2025-09-02,13.3,0
3207,2025-09-02,12.4,0
2164,2025-09-02,40.4,1
3147,2025-09-02,1.9,0
4957,2025-09-02,35.0,0
2164,2025-09-02,97.4,1
1254,2025-09-02,38.9,1
1254,2025-09-02,52.7,1
1254,2025-09-02,97.8,1
3211,2025-09-02,46.7,1
3211,2025-09-02,97.0,1
2164,2025-09-02,36.9,1
1901,2025-09-02,12.2,0
3147,2025-09-02,2.6,0
4931,2025-09-02,20.6,0
195,2025-09-02,96.5,1
1060,2025-09-02,19.3,0
3676,2025-09-02,10.6,1
3676,2025-09-02,19.1,1
3676,2025-09-02,19.6,1
4916,2025-09-02,96.4,1
5017,2025-09-02,28.2,0
4916,2025-09-02,35.7,1
3676,2025-09-02,30.5,1
3676,2025-09-02,96.1,1
5018,2025-09-02,42.1,1
1056,2025-09-02,13.4,0
3058,2025-09-02,97.4,1
1433,2025-09-02,31.0,0
1056,2025-09-02,15.8,0
5018,2025-09-02,97.1,1
5022,2025-09-02,2.9,0
3023,2025-09-02,97.6,1
3742,2025-09-02,39.8,0
1031,2025-09-02,46.5,0
3725,2025-09-02,12.5,0
4909,2025-09-02,14.2,0
5228,2025-09-02,22.4,1
195,2025-09-02,25.7,1
205,2025-09-02,96.3,1
205,2025-09-02,15.5,1
205,2025-09-02,12.3,1
5180,2025-09-02,21.3,0
3689,2025-09-02,43.0,0
3689,2025-09-02,31.6,0
3689,2025-09-02,34.0,0
99,2025-09-02,17.1,0
3742,2025-09-02,23.1,0
195,2025-09-02,21.0,1
3662,2025-09-02,97.5,1
3556,2025-09-02,32.0,1
4931,2025-09-02,23.1,0
3556,2025-09-02,97.6,1
3129,2025-09-02,97.1,1
3129,2025-09-02,34.0,1
3570,2025-09-02,21.8,0
1131,2025-09-02,52.9,0
3573,2025-09-02,36.6,0
3582,2025-09-02,22.4,0
5007,2025-09-02,7.8,0
1390,2025-09-02,36.7,1
3588,2025-09-02,4.6,0
3588,2025-09-02,12.7,0
1119,2025-09-02,41.1,0
3594,2025-09-02,97.6,1
1390,2025-09-02,96.6,1
1902,2025-09-02,4.7,0
1077,2025-09-02,50.2,0
3093,2025-09-02,14.6,0
3093,2025-09-02,24.6,0
3639,2025-09-02,6.9,0
3638,2025-09-02,96.8,1
3638,2025-09-02,35.8,1
195,2025-09-02,13.0,1
3638,2025-09-02,14.9,1
3627,2025-09-02,30.3,0
1102,2025-09-02,67.0,1
1987,2025-09-02,50.5,1
3110,2025-09-02,44.4,1
3110,2025-09-02,97.6,1
1102,2025-09-02,96.8,1
3638,2025-09-02,14.2,1
2799,2025-09-02,2.9,0
3965,2025-09-02,21.8,0
1685,2025-09-02,97.4,1
1650,2025-09-02,15.3,0
5293,2025-09-02,38.6,1
4508,2025-09-02,32.0,0
4285,2025-09-02,97.5,1
4508,2025-09-02,31.9,0
2410,2025-09-02,51.7,0
4285,2025-09-02,52.4,1
483,2025-09-02,28.4,1
5198,2025-09-02,96.5,1
2225,2025-09-02,97.4,1
483,2025-09-02,96.8,1
353,2025-09-02,3.0,0
1662,2025-09-02,5.3,0
5153,2025-09-02,25.6,0
2628,2025-09-02,21.8,0
5152,2025-09-02,37.0,1
5152,2025-09-02,97.4,1
2628,2025-09-02,15.1,0
4295,2025-09-02,98.0,1
616,2025-09-02,96.9,1
2416,2025-09-02,14.8,0
5293,2025-09-02,96.8,1
2638,2025-09-02,30.0,0
2638,2025-09-02,30.1,0
4196,2025-09-02,55.7,0
5284,2025-09-02,8.3,0
456,2025-09-02,16.3,0
4531,2025-09-02,25.2,0
4766,2025-09-02,26.0,0
4523,2025-09-02,17.7,1
2665,2025-09-02,9.7,0
4249,2025-09-02,11.5,0
5134,2025-09-02,13.8,0
5134,2025-09-02,8.2,0
4249,2025-09-02,19.5,0
1632,2025-09-02,44.3,1
5290,2025-09-02,16.7,0
1632,2025-09-02,97.6,1
647,2025-09-02,97.5,1
5199,2025-09-02,36.1,0
4510,2025-09-02,21.8,0
4265,2025-09-02,34.1,0
5105,2025-09-02,8.1,0
4508,2025-09-02,25.4,0
5293,2025-09-02,31.7,1
616,2025-09-02,12.2,1
2685,2025-09-02,35.8,1
1664,2025-09-02,97.4,1
4314,2025-09-02,96.4,1
2569,2025-09-02,8.9,0
2569,2025-09-02,2.7,0
4452,2025-09-02,26.1,0
2455,2025-09-02,9.3,0
335,2025-09-02,47.4,1
335,2025-09-02,35.3,1
5188,2025-09-02,39.4,0
1719,2025-09-02,46.2,0
4441,2025-09-02,97.6,1
4420,2025-09-02,31.0,0
2537,2025-09-02,37.6,0
536,2025-09-02,30.4,1
536,2025-09-02,29.7,1
2523,2025-09-02,32.1,0
2475,2025-09-02,97.7,1
2523,2025-09-02,22.9,0
4429,2025-09-02,97.7,1
2486,2025-09-02,98.0,1
2520,2025-09-02,43.5,1
5312,2025-09-02,38.9,0
2537,2025-09-02,50.7,0
5188,2025-09-02,27.8,0
5186,2025-09-02,8.3,0
4460,2025-09-02,46.2,1
4314,2025-09-02,28.1,1
496,2025-09-02,25.5,0
609,2025-09-02,97.7,1
4329,2025-09-02,13.5,0
4477,2025-09-02,28.2,0
4329,2025-09-02,20.3,0
4477,2025-09-02,35.1,0
500,2025-09-02,14.1,0
500,2025-09-02,14.8,0
4377,2025-09-02,31.7,0
2581,2025-09-02,17.8,0
2048,2025-09-02,97.7,1
4385,2025-09-02,34.5,1
2580,2025-09-02,14.8,0
2440,2025-09-02,12.0,0
2440,2025-09-02,12.1,0
1687,2025-09-02,35.1,0
4401,2025-09-02,3.2,0
2440,2025-09-02,19.8,0
2440,2025-09-02,19.7,0
5125,2025-09-02,20.6,0
4308,2025-09-02,18.8,0
2685,2025-09-02,49.2,1
1632,2025-09-02,39.4,1
2685,2025-09-02,97.5,1
4669,2025-09-02,21.9,0
4782,2025-09-02,8.5,0
4782,2025-09-02,8.3,0
738,2025-09-02,97.4,1
2751,2025-09-02,30.7,0
2685,2025-09-02,50.0,1
4674,2025-09-02,12.0,0
419,2025-09-02,15.7,0
419,2025-09-02,7.4,0
4155,2025-09-02,40.3,1
4155,2025-09-02,26.0,1
4584,2025-09-02,97.7,1
2021,2025-09-02,23.0,0
2066,2025-09-02,97.7,1
295,2025-09-02,5.7,1
2331,2025-09-02,25.9,0
2711,2025-09-02,53.1,0
4563,2025-09-02,97.5,1
2349,2025-09-02,49.5,0
1573,2025-09-02,97.6,1
704,2025-09-02,49.6,0
1830,2025-09-02,44.8,1
1573,2025-09-02,54.6,1
362,2025-09-02,48.2,0
2259,2025-09-02,25.5,0
5215,2025-09-02,22.8,0
5215,2025-09-02,25.7,0
1852,2025-09-02,41.3,0
4078,2025-09-02,6.9,0
4651,2025-09-02,17.8,0
393,2025-09-02,16.0,0
4613,2025-09-02,25.8,0
4793,2025-09-02,36.4,0
4612,2025-09-02,30.0,0
4665,2025-09-02,19.9,0
2271,2025-09-02,39.4,0
4087,2025-09-02,6.8,0
4665,2025-09-02,38.9,0
5094,2025-09-02,96.7,0
2287,2025-09-02,15.7,0
4669,2025-09-02,11.5,0
4782,2025-09-02,17.3,0
1830,2025-09-02,97.7,1
4683,2025-09-02,7.6,0
5312,2025-09-02,27.1,0
2704,2025-09-02,96.3,1
1971,2025-09-02,46.0,1
2694,2025-09-02,14.2,0
4563,2025-09-02,44.6,1
41,2025-09-02,8.0,0
679,2025-09-02,97.3,1
4780,2025-09-02,22.9,0
680,2025-09-02,97.8,1
680,2025-09-02,60.8,1
4780,2025-09-02,21.3,0
2251,2025-09-02,97.0,1
679,2025-09-02,33.3,1
4541,2025-09-02,15.9,0
4465,2025-09-03,29.5,1
4523,2025-09-03,96.0,1
4949,2025-09-03,91.4,1
4926,2025-09-03,13.4,0
4523,2025-09-03,41.8,1
1265,2025-09-03,91.7,1
1105,2025-09-03,48.0,0
1105,2025-09-03,28.0,0
4460,2025-09-03,93.9,1
1265,2025-09-03,56.3,1
4465,2025-09-03,49.1,1
4523,2025-09-03,16.1,1
4465,2025-09-03,92.5,1
4523,2025-09-03,48.0,1
4965,2025-09-03,3.0,0
3582,2025-09-03,22.5,0
4965,2025-09-03,3.0,0
4523,2025-09-03,38.5,1
4665,2025-09-03,33.3,0
4523,2025-09-03,23.0,1
2017,2025-09-03,46.4,1
2017,2025-09-03,93.9,1
4923,2025-09-03,5.6,0
1893,2025-09-03,46.0,0
2016,2025-09-03,93.0,1
158,2025-09-03,26.1,0
1893,2025-09-03,28.9,0
3433,2025-09-03,31.6,0
4430,2025-09-03,7.2,1
4651,2025-09-03,27.7,0
4430,2025-09-03,91.8,1
3439,2025-09-03,16.2,0
1283,2025-09-03,2.5,0
1280,2025-09-03,93.6,1
1280,2025-09-03,47.4,1
4949,2025-09-03,16.3,1
382,2025-09-03,37.1,1
5234,2025-09-03,21.0,0
4629,2025-09-03,30.0,0
4629,2025-09-03,19.6,0
4949,2025-09-03,16.5,1
5234,2025-09-03,24.1,0
1205,2025-09-03,93.9,1
4455,2025-09-03,28.6,0
500,2025-09-03,20.4,0
456,2025-09-03,17.1,0
500,2025-09-03,21.3,0
4930,2025-09-03,24.2,0
3420,2025-09-03,15.1,0
1153,2025-09-03,9.3,0
3387,2025-09-03,28.3,1
3387,2025-09-03,93.4,1
1153,2025-09-03,13.9,0
3526,2025-09-03,27.9,0
4481,2025-09-03,20.6,0
3405,2025-09-03,39.1,0
3391,2025-09-03,30.6,0
353,2025-09-03,3.3,0
353,2025-09-03,3.0,0
3514,2025-09-03,12.7,0
3501,2025-09-03,38.7,0
3481,2025-09-03,9.8,0
3481,2025-09-03,12.0,0
4510,2025-09-03,19.7,0
3489,2025-09-03,21.1,0
5173,2025-09-03,10.1,0
4678,2025-09-03,29.8,0
4510,2025-09-03,21.0,0
4577,2025-09-03,11.7,0
4577,2025-09-03,5.1,0
3489,2025-09-03,22.8,0
4938,2025-09-03,22.7,0
4477,2025-09-03,38.0,1
4930,2025-09-03,27.5,0
3539,2025-09-03,12.0,0
3387,2025-09-03,30.2,1
4930,2025-09-03,28.3,0
4521,2025-09-03,92.2,1
4683,2025-09-03,10.8,0
500,2025-09-03,13.3,0
155,2025-09-03,32.6,0
3569,2025-09-03,3.1,0
4521,2025-09-03,39.3,1
351,2025-09-03,8.9,0
351,2025-09-03,7.2,0
4669,2025-09-03,11.3,0
4558,2025-09-03,34.2,0
1254,2025-09-03,34.6,0
496,2025-09-03,24.1,0
4521,2025-09-03,38.3,1
4607,2025-09-03,12.8,0
469,2025-09-03,9.3,0
412,2025-09-03,38.5,1
412,2025-09-03,25.1,1
412,2025-09-03,63.7,1
412,2025-09-03,93.1,1
3550,2025-09-03,31.5,0
3550,2025-09-03,30.2,0
4683,2025-09-03,6.5,0
4683,2025-09-03,6.3,0
5187,2025-09-03,2.6,0
271,2025-09-03,13.6,0
1062,2025-09-03,31.1,0
249,2025-09-03,39.9,0
2100,2025-09-03,24.0,0
698,2025-09-03,23.7,0
700,2025-09-03,32.2,1
4859,2025-09-03,6.7,0
4859,2025-09-03,10.4,0
4859,2025-09-03,10.7,0
4182,2025-09-03,3.0,0
295,2025-09-03,91.2,1
4858,2025-09-03,27.3,0
5223,2025-09-03,4.4,0
4155,2025-09-03,93.3,1
4155,2025-09-03,26.5,1
1971,2025-09-03,43.3,1
1971,2025-09-03,93.6,1
4120,2025-09-03,24.4,0
3939,2025-09-03,41.1,0
876,2025-09-03,25.0,0
3906,2025-09-03,6.8,0
2059,2025-09-03,93.4,1
3847,2025-09-03,90.8,1
3847,2025-09-03,13.3,1
4873,2025-09-03,32.0,0
5201,2025-09-03,92.7,1
4215,2025-09-03,18.8,0
3856,2025-09-03,55.5,1
3856,2025-09-03,93.9,1
3863,2025-09-03,32.2,1
5202,2025-09-03,37.4,0
4767,2025-09-03,37.9,1
4767,2025-09-03,56.2,1
4767,2025-09-03,87.6,1
5206,2025-09-03,33.3,0
3883,2025-09-03,45.3,1
3883,2025-09-03,93.5,1
3899,2025-09-03,13.3,0
881,2025-09-03,11.1,0
4120,2025-09-03,32.4,0
1921,2025-09-03,93.7,1
736,2025-09-03,24.9,0
258,2025-09-03,44.0,0
4820,2025-09-03,26.1,0
5213,2025-09-03,47.1,1
4795,2025-09-03,26.0,0
5180,2025-09-03,19.2,0
5218,2025-09-03,23.4,0
5180,2025-09-03,20.5,0
5180,2025-09-03,21.2,0
768,2025-09-03,23.7,1
4078,2025-09-03,6.2,0
4051,2025-09-03,36.4,1
4051,2025-09-03,45.3,1
5214,2025-09-03,17.1,1
5214,2025-09-03,91.8,1
4051,2025-09-03,93.6,1
271,2025-09-03,20.9,0
4068,2025-09-03,14.0,0
271,2025-09-03,21.1,0
5213,2025-09-03,92.8,1
3847,2025-09-03,14.8,1
281,2025-09-03,48.7,0
4820,2025-09-03,29.7,0
3307,2025-09-03,12.8,0
3965,2025-09-03,21.0,0
817,2025-09-03,93.2,1
817,2025-09-03,49.2,1
736,2025-09-03,16.7,0
3984,2025-09-03,4.3,0
809,2025-09-03,27.3,0
809,2025-09-03,21.5,0
809,2025-09-03,22.5,0
1975,2025-09-03,20.1,0
3992,2025-09-03,24.4,0
4825,2025-09-03,5.4,0
4782,2025-09-03,7.9,0
284,2025-09-03,7.6,0
4018,2025-09-03,10.7,0
788,2025-09-03,43.0,0
4820,2025-09-03,31.7,0
738,2025-09-03,43.1,0
1062,2025-09-03,11.1,0
3847,2025-09-03,15.0,1
656,2025-09-03,50.3,1
4402,2025-09-03,43.5,1
4401,2025-09-03,3.3,0
5228,2025-09-03,20.2,1
5228,2025-09-03,92.5,1
271,2025-09-03,13.5,0
1945,2025-09-03,19.1,0
4391,2025-09-03,21.0,0
4402,2025-09-03,48.5,1
324,2025-09-03,38.4,0
4385,2025-09-03,93.0,1
1031,2025-09-03,38.1,0
1029,2025-09-03,26.1,0
4383,2025-09-03,4.5,0
4377,2025-09-03,29.0,0
4336,2025-09-03,25.3,0
3742,2025-09-03,22.1,0
3720,2025-09-03,94.0,1
4402,2025-09-03,93.3,1
3676,2025-09-03,17.2,0
4409,2025-09-03,43.3,0
3660,2025-09-03,40.1,0
3660,2025-09-03,29.5,0
4705,2025-09-03,5.0,0
4705,2025-09-03,12.2,0
1060,2025-09-03,17.3,0
335,2025-09-03,92.6,1
335,2025-09-03,50.7,1
4916,2025-09-03,36.4,0
536,2025-09-03,38.3,1
199,2025-09-03,22.8,1
536,2025-09-03,39.3,1
536,2025-09-03,92.2,1
536,2025-09-03,24.4,1
1056,2025-09-03,14.2,0
543,2025-09-03,50.0,1
543,2025-09-03,48.1,1
3676,2025-09-03,9.6,0
4901,2025-09-03,5.1,0
4333,2025-09-03,23.5,0
2058,2025-09-03,4.4,0
4329,2025-09-03,22.7,0
3801,2025-09-03,92.1,1
635,2025-09-03,31.9,0
4752,2025-09-03,23.1,0
4752,2025-09-03,22.8,0
4879,2025-09-03,10.1,0
3806,2025-09-03,29.4,0
4752,2025-09-03,19.7,0
3810,2025-09-03,20.7,0
234,2025-09-03,37.2,0
3815,2025-09-03,35.8,0
3815,2025-09-03,48.7,0
3822,2025-09-03,6.2,0
3826,2025-09-03,29.5,0
942,2025-09-03,93.7,1
942,2025-09-03,51.0,1
4876,2025-09-03,4.2,0
933,2025-09-03,93.7,1
3801,2025-09-03,10.5,1
3847,2025-09-03,15.1,1
5198,2025-09-03,92.8,1
3792,2025-09-03,51.0,0
3754,2025-09-03,15.2,0
3763,2025-09-03,15.6,0
5196,2025-09-03,10.5,0
220,2025-09-03,40.7,0
619,2025-09-03,25.3,0
4895,2025-09-03,42.1,0
4895,2025-09-03,28.9,0
620,2025-09-03,32.2,1
620,2025-09-03,32.6,1
3767,2025-09-03,18.5,0
4741,2025-09-03,28.5,0
4741,2025-09-03,42.1,0
3773,2025-09-03,93.9,1
620,2025-09-03,93.6,1
4294,2025-09-03,3.9,0
4294,2025-09-03,4.7,0
4294,2025-09-03,4.8,0
5198,2025-09-03,20.4,1
3307,2025-09-03,17.7,0
4652,2025-09-03,18.1,0
5022,2025-09-03,2.6,0
2995,2025-09-03,35.0,0
2457,2025-09-03,9.4,0
1511,2025-09-03,93.7,1
3106,2025-09-03,92.6,1
2194,2025-09-03,36.6,0
2703,2025-09-03,24.8,0
2702,2025-09-03,92.8,1
2993,2025-09-03,21.0,0
1507,2025-09-03,7.0,0
2987,2025-09-03,27.3,1
1506,2025-09-03,27.4,0
2922,2025-09-03,19.5,0
2694,2025-09-03,13.9,0
2927,2025-09-03,39.9,1
5254,2025-09-03,18.2,0
1512,2025-09-03,23.6,0
3185,2025-09-03,47.1,0
1512,2025-09-03,29.3,0
1410,2025-09-03,30.6,1
2729,2025-09-03,10.5,0
1424,2025-09-03,32.6,0
2520,2025-09-03,34.6,1
94,2025-09-03,35.0,0
2912,2025-09-03,14.9,0
132,2025-09-03,23.4,0
2912,2025-09-03,15.2,0
1809,2025-09-03,42.1,1
5285,2025-09-03,9.2,0
1416,2025-09-03,26.1,0
1512,2025-09-03,21.8,0
1413,2025-09-03,93.8,1
1512,2025-09-03,33.0,0
2999,2025-09-03,16.0,0
5112,2025-09-03,12.6,0
1410,2025-09-03,48.6,1
2927,2025-09-03,91.8,1
2941,2025-09-03,10.9,0
1616,2025-09-03,92.1,1
2633,2025-09-03,19.7,0
2958,2025-09-03,93.7,1
2633,2025-09-03,19.6,0
3147,2025-09-03,4.7,0
2633,2025-09-03,14.2,0
1474,2025-09-03,10.1,0
1474,2025-09-03,13.7,0
3147,2025-09-03,1.7,0
1478,2025-09-03,17.5,0
5261,2025-09-03,93.1,1
5285,2025-09-03,9.5,0
3131,2025-09-03,92.8,1
1476,2025-09-03,94.1,1
2416,2025-09-03,10.2,0
2416,2025-09-03,12.0,0
2665,2025-09-03,10.9,0
5033,2025-09-03,90.8,1
1467,2025-09-03,20.1,0
2432,2025-09-03,94.1,1
2941,2025-09-03,5.6,0
2987,2025-09-03,87.1,1
1492,2025-09-03,11.8,0
1492,2025-09-03,7.2,0
2987,2025-09-03,27.5,1
2987,2025-09-03,26.6,1
2951,2025-09-03,32.2,0
2520,2025-09-03,93.3,1
2196,2025-09-03,11.8,0
5134,2025-09-03,6.5,0
2438,2025-09-03,28.3,0
1791,2025-09-03,25.2,0
1662,2025-09-03,5.1,0
2438,2025-09-03,44.7,0
1490,2025-09-03,17.1,0
5022,2025-09-03,3.2,0
2677,2025-09-03,52.8,0
5135,2025-09-03,8.8,0
3021,2025-09-03,24.1,0
2318,2025-09-03,93.3,1
5328,2025-09-03,34.1,0
5,2025-09-03,19.9,0
1556,2025-09-03,19.2,0
5258,2025-09-03,92.8,1
3243,2025-09-03,42.0,1
3022,2025-09-03,92.0,1
2256,2025-09-03,23.6,0
3263,2025-09-03,55.8,1
5321,2025-09-03,91.8,1
5321,2025-09-03,33.9,1
3243,2025-09-03,52.1,1
2877,2025-09-03,26.1,0
106,2025-09-03,93.9,1
2882,2025-09-03,93.9,1
3026,2025-09-03,21.6,0
3069,2025-09-03,46.4,1
106,2025-09-03,64.4,1
3069,2025-09-03,93.9,1
3263,2025-09-03,93.5,1
2235,2025-09-03,93.9,1
1571,2025-09-03,4.5,0
2790,2025-09-03,46.5,1
2569,2025-09-03,2.7,0
2260,2025-09-03,11.2,0
1564,2025-09-03,92.8,1
1564,2025-09-03,39.7,1
5272,2025-09-03,89.7,1
5117,2025-09-03,30.0,0
2790,2025-09-03,88.4,1
5018,2025-09-03,42.6,0
5329,2025-09-03,20.2,0
2790,2025-09-03,61.0,1
3055,2025-09-03,93.4,1
3275,2025-09-03,10.6,0
3275,2025-09-03,10.9,0
3045,2025-09-03,92.9,1
5022,2025-09-03,3.1,0
1987,2025-09-03,91.6,1
2638,2025-09-03,39.4,0
109,2025-09-03,42.1,1
2179,2025-09-03,39.0,0
4975,2025-09-03,5.3,0
24,2025-09-03,10.4,0
2898,2025-09-03,93.7,1
2294,2025-09-03,93.7,1
2206,2025-09-03,32.6,0
3216,2025-09-03,21.2,0
3078,2025-09-03,42.1,1
1987,2025-09-03,67.9,1
5113,2025-09-03,32.2,1
2179,2025-09-03,45.3,0
2318,2025-09-03,43.5,1
24,2025-09-03,6.6,0
2551,2025-09-03,55.6,1
2733,2025-09-03,93.3,1
109,2025-09-03,93.6,1
3086,2025-09-03,31.0,0
